,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Rock This_19,spotify:track:2OdRGWLkvSccWOrYFlbIFF,WILLOW,curious/furious,181557,56,False,0.55,0.755,8,-11.428,0,0.0492,0.0652,0,0.106,0.698,142.034,4
Rock This_20,spotify:track:62pC4mgtn2CwTxEHVbCCvn,MOD SUN,Shelter (feat. Avril Lavigne),190137,55,True,0.292,0.788,5,-5.465,1,0.0705,0.000707,0,0.245,0.565,66.994,4
Rock This_21,spotify:track:5AVoz9v5GG4gfhBtKc5jbN,DE'WAYNE,TAKE THIS CROWN (feat. Good Charlotte),215986,47,False,0.455,0.948,11,-5.379,0,0.226,0.0033,0.000165,0.116,0.267,160.04,4
Rock This_22,spotify:track:1v64n1ScLjCccCw75vgqAY,"nothing,nowhere.",CYAN1DE (feat. PETE WENTZ),231882,53,True,0.396,0.876,4,-7.513,0,0.115,0.000448,0,0.528,0.112,169.89,4
Rock This_23,spotify:track:3pwmJJRlr8nXNN9PFD18np,Metallica,Lux Æterna,205679,62,False,0.386,0.996,11,-2.96,0,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,4
Rock This_24,spotify:track:6rBiMyaGB1ZJQnxb01FkPG,The Smashing Pumpkins,Beguiled,238143,58,False,0.698,0.611,2,-6.542,1,0.0281,7.73e-05,0.295,0.0937,0.449,116.997,4
Rock This_25,spotify:track:6OGIBcJV5qV1FF5uiofnX0,Iggy Pop,Strung Out Johnny,253893,53,True,0.521,0.884,10,-5.354,0,0.0387,0.000156,0.0191,0.0837,0.465,124.051,4
Rock This_26,spotify:track:7r6IKrSrxElm4CONGUhlv5,Ayron Jones,Otherside,226786,48,False,0.439,0.713,0,-6.337,1,0.0379,3.43e-05,0,0.083,0.229,111.99,4
Rock This_27,spotify:track:0G1BEi8ByngMCJqcPnDACw,Red Hot Chili Peppers,Eddie,341986,62,False,0.515,0.809,9,-5.817,0,0.0512,0.00455,0.0723,0.0905,0.525,142.011,4
Rock This_28,spotify:track:0UgCI5TiOQthbrEVSqHC9j,Inhaler,Love Will Get You There,250280,57,False,0.504,0.897,0,-4.694,0,0.0443,0.0431,1.06e-05,0.0721,0.527,96.008,4
Rock This_29,spotify:track:1D8gAw88OF911utrFnVQdM,Blondshell,Veronica Mars,117850,48,False,0.305,0.45,6,-6.536,0,0.061,0.00521,0.000759,0.0899,0.633,184.101,3
Rock This_30,spotify:track:5J1zn7OE12a0gFnjJc0Um6,YUNGBLUD,Tissues,215163,58,False,0.607,0.901,4,-3.406,1,0.134,0.0109,0,0.105,0.809,89.987,4
Rock This_31,spotify:track:77zu6q8jHBRPJSJRu6rsTf,Avril Lavigne,I’m a Mess (with YUNGBLUD),187793,60,False,0.467,0.667,1,-4.386,1,0.0315,0.007,0,0.155,0.399,91.057,4
Rock This_32,spotify:track:5ZrE7guVgMc6Vjvri6aZYg,Wunderhorse,Leader of the Pack,183466,50,False,0.506,0.967,1,-4.464,0,0.0635,6.05e-05,0.195,0.0921,0.592,95.354,4
Rock This_33,spotify:track:5n3It3ROR8In19oJkpXeWt,The Struts,Fallin' With Me,161791,56,False,0.637,0.918,4,-2.31,0,0.119,0.00611,0.00212,0.109,0.769,126.007,4
Rock This_34,spotify:track:2ZdEHxr2L0Dj5zJOdt3Dql,Pale Waves,Jealousy,192878,52,False,0.523,0.901,7,-2.461,1,0.0672,0.0145,0,0.127,0.696,141.09,4
Rock This_35,spotify:track:3vTehy2tTrXyEeOieYFEAd,Liily,Applause,164826,50,False,0.601,0.873,0,-4.211,1,0.0595,0.000349,2.28e-05,0.339,0.238,109.981,4
Rock This_36,spotify:track:25SRFuJqLVrgApeFw4vFCb,Jean Dawson,SICK OF IT*,129119,52,True,0.459,0.987,3,-3.779,1,0.0598,0.000188,0.356,0.0647,0.325,94.566,4
Rock This_37,spotify:track:6jZp2rNTYVlKwt20aMIcot,ONE OK ROCK,Save Yourself,197995,53,False,0.503,0.849,5,-2.709,1,0.0615,0.00428,0,0.0667,0.762,165.096,4
Rock This_38,spotify:track:5fpq1wF8xa5tSSlcKHdmGQ,Bring Me The Horizon,sTraNgeRs,195747,70,True,0.346,0.939,5,-3.061,1,0.182,0.000231,0,0.433,0.526,183.147,3
Rock This_39,spotify:track:2yH6eL6f1Ada5MnmNpiPbr,Against The Current,blindfolded,199240,57,False,0.507,0.975,7,-2.922,0,0.0495,0.000286,0,0.0784,0.426,141.984,4
Rock This_40,spotify:track:6nXtGWUzOGxfI7q5hUa6Jj,Waterparks,REAL SUPER DARK,149194,58,True,0.364,0.884,7,-5.21,1,0.177,0.00632,0,0.828,0.506,140.061,4
Rock This_41,spotify:track:2vcgd86VuJbv5jbzn4zau4,Stand Atlantic,kill[h]er,145735,55,True,0.478,0.84,1,-3.758,1,0.0524,0.000175,0,0.102,0.346,170.015,1
Rock This_42,spotify:track:4b3f0U8gOfJKyxB8cYdCiw,I Prevail,Bad Things,228260,57,False,0.5,0.844,5,-5.263,0,0.064,0.000791,9.54e-05,0.274,0.141,92.044,4
Rock This_43,spotify:track:6bo13cPb5M0B6LhQEl0A3E,Five Finger Death Punch,Times Like These,209976,63,False,0.437,0.935,8,-4.278,0,0.0675,0.0102,0,0.135,0.593,73.722,4
Rock This_44,spotify:track:2GXXovrQJ0VCIbTVPiXILx,Cassyette,September Rain,213874,51,False,0.395,0.898,7,-3.787,0,0.053,0.000246,0,0.0783,0.267,160.029,4
Rock This_45,spotify:track:3jawKKlzEQ8KmCGVlIuJJS,Story Of The Year,War,174283,57,False,0.574,0.818,3,-5.452,0,0.0813,0.00186,0,0.675,0.644,99.942,4
Rock This_46,spotify:track:7Igb2aGtzSlisOgXbjmdZW,Architects,tear gas,257903,57,True,0.509,0.878,1,-3.57,1,0.0411,4.52e-05,2.63e-06,0.365,0.354,86.009,4
Rock This_47,spotify:track:2g8vTn8mz96VWCSc9RCucZ,Dayseeker,Without Me,224800,60,False,0.381,0.81,1,-3.979,0,0.0472,0.0216,0,0.0866,0.147,92.209,4
Rock This_48,spotify:track:0JX13l9ixwzb9BBTG5vaNV,Sleeping With Sirens,Let You Down (feat. Charlotte Sands),205974,50,False,0.439,0.941,5,-3.398,0,0.122,0.00244,2.53e-05,0.305,0.624,174.024,4
Rock This_49,spotify:track:6pt3VzqcJ5jIUR5JyBtkmW,Palaye Royale,Line It Up (feat. LP),241222,57,False,0.453,0.791,7,-5.605,0,0.0347,0.022,0,0.189,0.466,82.976,4
mint_0,spotify:track:5bZjb7xKqLqa58QiUBcVvl,HUGEL,Marianela (Que Pasa),145766,67,False,0.828,0.893,1,-3.344,1,0.0496,0.033,0.00535,0.0811,0.602,124.043,4
mint_1,spotify:track:5dW0cgZ9uV1W3PXtuTS5uP,BLOND:ISH,Sorry (with Madonna),161627,48,False,0.65,0.783,0,-8.061,1,0.0342,0.000577,0.815,0.2,0.507,124.008,4
mint_2,spotify:track:7udjTmsTZqdB1xLOHGJ8dM,Jengi,Bel Mercy,169606,65,False,0.945,0.759,1,-5.971,1,0.0865,0.231,0.651,0.0989,0.688,127.024,4
mint_3,spotify:track:2lWc1iJlz2NVcStV5fbtPG,BUNT.,Clouds,158760,59,False,0.7,0.748,9,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056,4
mint_4,spotify:track:22quZFeltYbo325rn3ktTe,Young Marco,What You Say?,203688,66,False,0.693,0.791,6,-7.902,0,0.0508,0.0284,0.00111,0.117,0.293,136.02,4
mint_5,spotify:track:1GfBLbAhZUWdseuDqhocmn,Skrillex,Rumble,146571,79,False,0.81,0.836,1,-7.721,0,0.0645,0.0515,0.229,0.0598,0.0585,139.979,4
mint_6,spotify:track:4q05KbxYZ5JdkmrletgPjF,Jax Jones,Whistle (feat. Calum Scott),181957,58,False,0.701,0.88,10,-4.56,0,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,4
mint_7,spotify:track:2e2yKavdT6WQzzMHwNtPFa,Chris Lake,In The Yuma (feat. Aatig),156215,69,False,0.846,0.891,1,-4.902,0,0.0652,0.000394,0.803,0.124,0.94,126.029,4
mint_8,spotify:track:7jURkEKDVEm9sHueqUX0ko,Mau P,Gimme That Bounce,217410,61,False,0.801,0.96,8,-5.534,1,0.264,0.0284,0.877,0.0985,0.101,126.045,4
mint_9,spotify:track:7nDxeN6NDc7v3v774IXiC5,Lil Wayne,A Milli - SIDEPIECE Remix,153750,55,True,0.85,0.927,8,-4.265,1,0.0422,0.000192,0.00659,0.0683,0.601,128.004,4
mint_10,spotify:track:0c6XBVz2evmzERhch4Diew,Luude,Oh My (feat. Moby),160116,65,False,0.445,0.902,0,-5.223,0,0.114,0.075,6.76e-05,0.225,0.439,171.966,4
mint_11,spotify:track:2tX3PY8eP3h9XaBcLXuRBa,Jason Derulo,Saturday/Sunday,166572,66,False,0.698,0.781,8,-5.615,0,0.0401,0.143,0,0.0762,0.851,124.017,4
mint_12,spotify:track:0hJfuyUwtEYMlGgvr3nzz9,The Blessed Madonna,Serotonin Moonbeams,289471,64,True,0.817,0.876,8,-7.485,0,0.046,0.0332,0.199,0.412,0.671,131.022,4
mint_13,spotify:track:2Lq7rOLcBBTvBa86k1YTW0,SG Lewis,Oh Laura,216018,59,False,0.789,0.568,2,-5.084,1,0.0568,0.0187,0.000409,0.0681,0.899,90.0,4
mint_14,spotify:track:6BePGk3eCan4FqaW2X8Qy3,Tiësto,10:35,172252,87,False,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4
mint_15,spotify:track:1SETgPENHVzsWoD9g79LYI,Kx5,Alive (feat. The Moth & The Flame),308709,62,False,0.653,0.886,9,-8.237,0,0.0685,0.0778,0.236,0.126,0.0638,124.004,4
mint_16,spotify:track:2c3KCGq6UojB2c8UAFrRON,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,274141,70,True,0.716,0.897,4,-7.185,0,0.0629,0.012,0.262,0.325,0.358,127.03,4
mint_17,spotify:track:6PX5CRJFn24G3cypjNO6yw,Alok,Work With My Love,150483,74,False,0.618,0.848,6,-4.329,0,0.0574,0.0028,0.000714,0.302,0.639,123.967,4
mint_18,spotify:track:1SFA5zEVOsLhEg7ynbvQFT,ILLENIUM,Luv Me A Little,224615,69,False,0.478,0.769,5,-5.092,1,0.0448,0.168,0,0.156,0.157,155.998,4
mint_19,spotify:track:5bF00VrMY3FwnQDgoP4Gnk,Romy,Strong,234053,68,False,0.582,0.813,4,-7.443,1,0.0433,0.143,0.0837,0.349,0.315,133.988,4
mint_20,spotify:track:2mobDDzkskezluhIzhM7Sg,Skrillex,Way Back,119314,70,False,0.657,0.713,7,-4.787,1,0.0406,0.0791,0.394,0.221,0.544,175.096,4
mint_21,spotify:track:0hjRzBuGh9qGGzcbW7xK12,CamelPhat,The Sign,213495,64,False,0.714,0.782,7,-7.316,0,0.0402,0.0756,0.64,0.256,0.0663,121.969,4
mint_22,spotify:track:1eMUGMEWrvTXYWrPobq2dH,Maddix,Heute Nacht,204444,69,False,0.609,0.912,11,-6.593,0,0.0391,0.0196,0.478,0.133,0.0391,135.027,4
mint_23,spotify:track:7L6ZDYK13nVfc6j3QlKNJj,Riva Starr,This Is The Sound,192401,59,False,0.771,0.967,9,-4.65,0,0.124,0.0241,0.226,0.357,0.46,125.999,4
mint_24,spotify:track:4XzeThE3txvCBIrP40tj85,Anyma,Eternity,186284,51,False,0.606,0.884,8,-5.897,1,0.0412,0.00541,0.848,0.102,0.243,125.045,4
mint_25,spotify:track:5IFSvSEeCAvvBEQ85poqKB,Wuki,Edge of Seventeen,164042,68,False,0.708,0.909,5,-5.999,0,0.0476,0.0324,0.527,0.08,0.351,127.997,4
mint_26,spotify:track:2AcKLW30dJ03qXsGU3RehH,Topic,All Or Nothing,147973,69,False,0.598,0.783,5,-3.908,0,0.0392,0.173,0,0.0696,0.396,126.018,4
mint_27,spotify:track:1mpD4bXO4r3xilu12Kaf5Q,Honey Dijon,It's Quiet Now (feat. Dope Earth Alien),182750,55,False,0.703,0.818,5,-7.905,0,0.037,0.000569,0.0792,0.0964,0.63,123.009,4
mint_28,spotify:track:78VvdxcfXAYBhdzuLFFvSK,Aluna,Kiss It Better,257055,55,False,0.795,0.83,2,-5.358,1,0.0332,0.00102,0.0345,0.0964,0.601,127.008,3
mint_29,spotify:track:3aQFj0dc2vv6sAhHSVGoFi,TECH IT DEEP,Maria Maria,161801,65,False,0.747,0.657,0,-7.652,1,0.0912,0.0967,0.00497,0.278,0.397,128.037,4
mint_30,spotify:track:2BUF674QTAA8cL6YaBX3rd,Vintage Culture,If I Live Forever,279484,55,False,0.582,0.871,10,-6.202,0,0.0433,0.00476,0.392,0.138,0.316,123.004,4
mint_31,spotify:track:5JEaCJCehAtt1nQf0gd9Dx,Francis Mercier,Kamili,226500,36,False,0.742,0.834,4,-5.941,0,0.0358,0.000733,0.18,0.125,0.164,120.014,4
mint_32,spotify:track:67r7ZHxVxONN9ZQk05AQVL,PinkPantheress,Do you miss me?,128853,64,True,0.647,0.871,11,-7.144,0,0.0936,0.0976,0.000534,0.173,0.643,129.928,4
mint_33,spotify:track:2x5nPvRLL92jXFvpfkIBLh,Ian Asher,God On The Weekend,180231,60,False,0.714,0.7,11,-6.759,0,0.0358,0.144,0,0.137,0.631,125.144,4
mint_34,spotify:track:0Ftrkz2waaHcjKb4qYvLmz,Fred again..,Delilah (pull me out of this),250702,69,False,0.685,0.827,10,-7.745,1,0.224,0.138,0.00207,0.374,0.586,133.93,4
mint_35,spotify:track:5Hp4xFihdOE2dmDzxWcBFb,Alok,All By Myself,171747,76,False,0.662,0.848,0,-4.338,0,0.0346,0.0932,7.62e-06,0.241,0.773,123.041,4
mint_36,spotify:track:4w2PIlbpP4jhc1S9MHUHzb,Caroline Polachek,Welcome To My Island - George Daniel & Charli XCX Remix,202494,60,True,0.699,0.702,0,-6.85,1,0.0653,0.0116,0.00233,0.175,0.524,134.391,4
mint_37,spotify:track:217r9ImwdrBFdq8adkD7rE,Yotto,Let You Go,286387,39,False,0.617,0.971,7,-6.455,1,0.0465,0.061,0.733,0.122,0.0364,126.02,4
mint_38,spotify:track:0UFJLWij7K8AXM5sVDFCLj,HUGEL,Tra Tra,126774,60,False,0.797,0.942,1,-6.194,1,0.0656,0.00373,0.563,0.425,0.178,124.014,4
mint_39,spotify:track:4iAADGCKIR9GkLGvAHfZUS,Campbell,Beat Goes On (Rhythm to the Brain),133212,67,False,0.821,0.781,0,-4.465,1,0.0397,0.00563,0.0191,0.0403,0.434,137.017,4
mint_40,spotify:track:2F0dCzhF9W1tcXwXu99m28,Nathan Dawe,Oh Baby (feat. bshp & Issey Cross),148236,60,False,0.798,0.947,11,-3.532,0,0.0551,0.0682,3.26e-06,0.067,0.58,136.034,4
mint_41,spotify:track:6X1c9HhslDe4ykuXb7d9vI,Carl Cox,Deep Space X,388000,49,False,0.673,0.918,7,-6.406,1,0.0459,0.000906,0.906,0.0972,0.194,132.023,4
mint_42,spotify:track:0CADZTEOUaMw9bHnKB59Ts,DJ Snake,Nightbird,156190,57,False,0.811,0.808,9,-6.055,1,0.0548,0.00816,0.505,0.135,0.651,126.027,4
mint_43,spotify:track:4j5UF24fwzvkw6QtNH5YtK,Loud Luxury,Afterparty,160849,61,False,0.753,0.836,1,-5.506,0,0.044,0.101,0.000896,0.118,0.661,121.95,4
mint_44,spotify:track:39JofJHEtg8I4fSyo7Imft,Eliza Rose,B.O.T.A. (Baddest Of Them All) - Edit,226626,80,False,0.736,0.906,0,-7.589,1,0.048,0.164,0.585,0.106,0.698,137.001,4
mint_45,spotify:track:1lx452Y4CLMvIois88vwBr,Channel Tres,6am,221748,55,True,0.873,0.685,0,-6.52,0,0.0609,0.0176,0.00172,0.0483,0.918,124.025,4
mint_46,spotify:track:2cjhbrRCiUwRWL2PDPpDAu,Snakehips,Solitude (with BIA & Lucky Daye),174476,53,False,0.693,0.833,11,-5.832,0,0.0736,0.00186,0.00513,0.413,0.452,120.025,4
mint_47,spotify:track:2fY9O2PpELY5hubBbC2zEG,Argy,Pantheon,272255,58,False,0.585,0.673,2,-8.274,1,0.0342,0.00062,0.284,0.205,0.0389,120.015,4
mint_48,spotify:track:7xvl39LuJ8o5yeHR1kta90,ARTBAT,Tibet,403676,57,False,0.729,0.919,4,-8.763,0,0.0855,0.000355,0.616,0.321,0.0382,123.989,4
mint_49,spotify:track:651YhrvzeVfOa8yIifIhUM,Hardwell,I FEEL LIKE DANCING,225681,61,False,0.554,0.966,6,-3.745,1,0.106,0.00109,0.838,0.415,0.193,132.035,4
mint_50,spotify:track:4T2i7b1SkRTGHmT5Xr6ym9,Layton Giordani,Rabbit Hole,238736,53,False,0.7,0.928,7,-4.397,1,0.0634,0.042,0.691,0.104,0.459,129.01,4
mint_51,spotify:track:59AhbmCmtzcGVEYuzNXFIx,SILK,Quiver,181459,64,False,0.899,0.785,6,-8.006,1,0.133,0.0973,0.483,0.305,0.119,131.024,4
mint_52,spotify:track:7jrMFjEq0t09f7m3HnnWXl,Supermode,Tell Me Why - MEDUZA Remix,171428,71,False,0.561,0.928,6,-5.812,0,0.0371,0.087,0.894,0.332,0.182,125.988,4
mint_53,spotify:track:2t3FV5IpL1uWeMjt7vOomW,Kaleena Zanders,V I B R A T I O N,169831,50,False,0.504,0.915,10,-5.38,0,0.0494,0.00123,0.0163,0.331,0.49,126.979,4
mint_54,spotify:track:0w7JPlp7eEQI2EKW3ayXrv,Mau P,Drugs From Amsterdam,235785,75,False,0.683,0.932,8,-10.402,1,0.0513,0.0389,0.605,0.0615,0.553,125.002,4
mint_55,spotify:track:4HjLBWJ7AKZQcmupi1NSM5,David Guetta,You Can’t Change Me (feat. Raye),170859,64,False,0.539,0.955,4,-4.877,0,0.0755,0.00219,0.0286,0.205,0.158,127.863,4
mint_56,spotify:track:2UwgoIMAYT0pDOxUFTjEVJ,Sunday Scaries,Chill Like That,178908,70,False,0.889,0.871,11,-5.349,0,0.149,0.00176,0.586,0.279,0.491,124.008,4
mint_57,spotify:track:4BSpzPw0jNM5YdfE6rbFi9,Habstrakt,Outer Space,192382,56,True,0.785,0.939,8,-4.89,0,0.296,0.00473,0.0519,0.885,0.469,126.003,4
mint_58,spotify:track:0zKbDrEXKpnExhGQRe9dxt,Tiësto,Lay Low,153442,79,False,0.534,0.855,1,-4.923,0,0.183,0.0607,0.000263,0.346,0.42,122.06,4
mint_59,spotify:track:73vIOb4Q7YN6HeJTbscRx5,Oliver Tree,Miss You,206000,89,True,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4
mint_60,spotify:track:1E0CZWim9mfwrCkXvieES8,Zeds Dead,Ecstasy Of Soul,238400,59,False,0.379,0.898,11,-2.19,0,0.219,0.0238,0.0265,0.374,0.129,150.223,4
mint_61,spotify:track:0a2cA9H6KuOsoHLCnjl6YL,Sub Focus,Ready To Fly - Sub Focus & Dimension,204500,68,False,0.485,0.969,8,-0.517,0,0.0561,0.0485,0.664,0.192,0.448,173.941,4
mint_62,spotify:track:4G58eym5EGj8ZG1qt8DXIx,Something Good,Rhythm (Of The Night),201621,60,False,0.534,0.946,10,-6.632,1,0.0383,0.000404,0.698,0.348,0.173,121.951,4
mint_63,spotify:track:0KgDKuaHnbZOzz8adnnfxd,HoneyLuv,Sway (feat. Dope Earth Alien),167619,53,False,0.836,0.878,7,-8.714,1,0.0472,0.00342,0.26,0.0775,0.626,126.014,4
mint_64,spotify:track:5U5Q3MbGlEc6q9NK9lMiPD,John Summit,Show Me (feat. Hannah Boleyn),177142,56,False,0.663,0.802,2,-5.126,0,0.0381,0.005,0.0419,0.617,0.307,125.989,4
mint_65,spotify:track:5Z2MiIZ5I3jJvvmeWMLbOQ,RAYE,Escapism.,272373,89,True,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4
mint_66,spotify:track:1hf9Wu2l0XIgAcTZLSAUJe,Alan Walker,Shut Up,132954,69,True,0.378,0.614,1,-3.809,0,0.0761,0.13,0,0.309,0.451,175.937,4
mint_67,spotify:track:5RobAV5ROH5KARimi7n3cO,venbee,messy in heaven,170437,76,False,0.62,0.837,8,-4.356,0,0.13,0.128,0.000242,0.242,0.433,172.081,4
mint_68,spotify:track:6gLDnzjpM0AwOeh9NmmHE0,Azzecca,Other Side,244337,57,False,0.768,0.846,9,-6.469,1,0.0478,0.00411,0.769,0.0998,0.139,124.981,4
mint_69,spotify:track:0qLp8n67H96dA3L0ySGb0l,Notre Dame,Yumi,381720,51,False,0.723,0.695,5,-7.155,0,0.0352,0.00119,0.521,0.0104,0.341,121.993,4
mint_70,spotify:track:2hXevSk7W1jBAO34M8XHdW,Regard,No Love For You,178414,58,False,0.762,0.771,9,-5.471,0,0.0847,0.275,0.00335,0.244,0.392,123.933,4
mint_71,spotify:track:6bfyfZ0UV3K9Broh54iXaw,Seven Lions,Stop Thinking (feat. Lights),292633,55,False,0.396,0.597,9,-5.819,1,0.0358,0.308,1.8e-06,0.0607,0.185,170.061,4
mint_72,spotify:track:6D1v5PAr6RKuJ8VuaS5aIO,MONSS,FLUTE,197489,62,False,0.75,0.863,7,-3.208,1,0.0451,0.0402,0.593,0.162,0.192,87.513,4
mint_73,spotify:track:2Tl5fhF4itz5VeXHRVGIO5,Sam Smith,Unholy (feat. Kim Petras) - Disclosure Remix,234411,63,False,0.736,0.783,1,-6.765,1,0.0504,0.00476,0.0055,0.343,0.179,127.998,4
mint_74,spotify:track:5guwpkhQxfe25YB9ErXqGY,Shygirl,Poison,168375,53,False,0.845,0.581,6,-10.676,0,0.123,0.0438,0.000125,0.101,0.49,126.97,4
mint_75,spotify:track:7B0gxo0jQCy5Lk93RIODAC,Nia Archives,Baianá,152558,64,False,0.531,0.89,2,-6.308,1,0.144,0.00198,0.497,0.0913,0.411,169.963,4
mint_76,spotify:track:50OKS8aOeuiegMnJuPKUeN,Charlotte de Witte,Apollo - Original Mix,420684,56,False,0.742,0.855,1,-8.344,0,0.0611,0.0317,0.81,0.119,0.0455,138.008,4
mint_77,spotify:track:09cgbbadzZSKFd1hGN23p5,Bicep,Water,256898,61,False,0.528,0.822,4,-5.371,0,0.0287,0.0087,0.192,0.183,0.363,130.013,4
Hot Country_0,spotify:track:418ve8CTLM3XbeGWSq8fA6,Chase Rice,Way Down Yonder,218213,65,False,0.476,0.818,6,-4.259,0,0.0388,0.17,1.24e-05,0.13,0.626,144.131,4
Hot Country_1,spotify:track:6Qpfsw8OS5HW5XxgmXYLWS,Parker McCollum,Handle On You,219333,72,False,0.588,0.931,6,-3.925,1,0.0318,0.00411,0,0.345,0.625,105.027,4
Hot Country_2,spotify:track:3zAOcNGOFq5Q1OsN0tcxA0,Hailey Whitters,Everything She Ain’t,151973,69,False,0.796,0.621,2,-6.129,1,0.0346,0.175,0,0.274,0.808,121.904,4
Hot Country_3,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,Luke Combs,Love You Anyway,229626,70,False,0.532,0.489,4,-7.419,1,0.0311,0.149,0,0.237,0.32,139.807,4
Hot Country_4,spotify:track:5kB6WithhB8Iv08EMNmAbt,Old Dominion,Memory Lane,172480,71,False,0.645,0.8,6,-4.272,1,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,4
Hot Country_5,spotify:track:1jX9wlAgVkAl0fCZqkCI73,Kelsea Ballerini,IF YOU GO DOWN (I'M GOIN' DOWN TOO),166035,69,False,0.676,0.856,11,-4.35,1,0.0393,0.454,0,0.141,0.965,144.092,4
Hot Country_6,spotify:track:6Awl7JBDQjfm7xkS3LkhDi,Mitchell Tenpenny,We Got History,203680,69,False,0.628,0.833,0,-6.327,1,0.0311,0.0014,0,0.104,0.309,98.025,4
Hot Country_7,spotify:track:2hsarLx1u2OgOmkcJ8ejBm,Mickey Guyton,Somethin' Bout You,156906,63,False,0.667,0.826,4,-3.412,1,0.0266,0.0979,0,0.151,0.665,112.041,4
Hot Country_8,spotify:track:6HBRLaSQ7NB8MNlaqzYen1,Jordan Davis,What My World Spins Around,186790,76,False,0.675,0.726,2,-6.459,1,0.0461,0.105,0,0.153,0.671,124.872,4
Hot Country_9,spotify:track:4686eQ81DEswHa90bcdlC9,Bailey Zimmerman,Rock and A Hard Place,207540,80,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,3
Hot Country_10,spotify:track:57YkkgxAiusJPMtiSG3w3c,Eric Church,Doing Life With Me,195586,68,False,0.646,0.598,3,-10.293,1,0.0425,0.73,5.87e-06,0.118,0.606,80.993,4
Hot Country_11,spotify:track:5ZCjp56T8J6d7amJyFSzrI,Lainey Wilson,Heart Like A Truck,199040,71,False,0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,139.974,4
Hot Country_12,spotify:track:59uQI0PADDKeE6UZDTJEe8,Morgan Wallen,Last Night,163854,82,True,0.517,0.675,6,-5.382,1,0.0357,0.459,0,0.151,0.518,203.853,4
Hot Country_13,spotify:track:1116cRlf1zVJXVI2fUUwFD,Jake Owen,Up There Down Here,200400,60,False,0.517,0.901,4,-3.51,1,0.039,0.234,0,0.317,0.567,150.033,4
Hot Country_14,spotify:track:1brnLTvarI9D1hLP6z2Ar8,Kane Brown,Thank God,174560,76,False,0.738,0.455,3,-8.735,1,0.0352,0.695,0,0.107,0.441,99.945,4
Hot Country_15,spotify:track:6Tm4Io4ct4w14nB1EUzsY3,Nate Smith,Whiskey On You,183789,75,False,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,4
Hot Country_16,spotify:track:4QWXSTeUHFzU0INh7SNqSU,Ingrid Andress,Feel Like This,196162,67,False,0.536,0.605,7,-5.292,1,0.0338,0.141,0,0.0614,0.341,130.053,4
Hot Country_17,spotify:track:4aSRUXfKuBbmje0eXNukuL,Scotty McCreery,It Matters To Her,171880,69,False,0.516,0.752,7,-5.09,1,0.0333,0.00528,3.78e-05,0.251,0.482,105.007,4
Hot Country_18,spotify:track:2DPqR0kuZVjrOF5oxIRYPy,Parmalee,Girl In Mine,155120,65,False,0.459,0.682,8,-4.235,1,0.0464,0.167,0,0.11,0.887,201.831,4
Hot Country_19,spotify:track:3IkCyX2KnQIyuAYQiT1wtR,Avery Anna,what made you think?,221706,64,False,0.564,0.469,5,-5.648,1,0.0297,0.23,0,0.107,0.186,124.041,3
Hot Country_20,spotify:track:6Z1bV93BP95h4YjIavrQPf,Tyler Hubbard,Dancin’ In The Country,179645,68,False,0.655,0.869,7,-4.807,1,0.0633,0.00408,0,0.104,0.541,114.984,4
Hot Country_21,spotify:track:1KHCFA1Wb1MYQi4WQIYqrm,Walker Hayes,Y'all Life,192053,61,False,0.607,0.757,2,-6.778,1,0.0601,0.0107,0,0.158,0.662,164.096,4
Hot Country_22,spotify:track:4cF4vuC7Ci29yhnbuoFRZx,Josh Ross,On A Different Night,189277,66,False,0.528,0.711,1,-5.494,1,0.0326,0.0168,0,0.13,0.0873,157.99,4
Hot Country_23,spotify:track:4qbibbQ1yK0rPl0JUJS0bz,Maddie & Tae,Every Night Every Morning,196890,69,False,0.618,0.75,7,-4.608,1,0.0287,0.00799,0,0.141,0.619,123.885,4
Hot Country_24,spotify:track:6JtzwtwvQZQNuiE24hfa70,Dylan Marlowe,Why'd We Break Up Again,169800,63,False,0.487,0.879,0,-3.445,1,0.044,0.000424,0,0.51,0.505,135.834,4
Hot Country_25,spotify:track:5Jwcv2Le3Klwgrgyqa12ZA,Brett Young,You Didn’t,225813,69,False,0.623,0.466,11,-7.6,1,0.0265,0.0421,1.45e-06,0.0996,0.272,81.98,3
