,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Today's Top Hits_29,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,202395,85,True,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,4
Today's Top Hits_30,spotify:track:38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),210575,85,True,0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872,4
Today's Top Hits_31,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake,Rich Flex,239359,90,True,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3
Today's Top Hits_32,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,176440,89,False,0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
Today's Top Hits_33,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,177954,86,False,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,4
Today's Top Hits_34,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,163648,86,False,0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,4
Today's Top Hits_35,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,180853,87,True,0.358,0.284,7,-8.285,1,0.0285,0.805,0,0.183,0.276,99.796,3
Today's Top Hits_36,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,191822,81,True,0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,4
Today's Top Hits_37,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,228013,85,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
Today's Top Hits_38,spotify:track:1Ame8XTX6QHY0l0ahqUhgv,Måneskin,THE LONELIEST,247067,82,False,0.519,0.595,2,-5.001,1,0.0283,0.00151,0,0.0762,0.237,129.786,4
Today's Top Hits_39,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,Ayra Starr,Rush,185093,78,False,0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,4
Today's Top Hits_40,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,Steve Lacy,Bad Habit,232114,84,True,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,4
Today's Top Hits_41,spotify:track:35ovElsgyAtQwYPYnZJECg,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,196519,83,False,0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,4
Today's Top Hits_42,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,People,184791,84,False,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,5
Today's Top Hits_43,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,162637,92,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4
Today's Top Hits_44,spotify:track:2SiAcexM2p1yX6joESbehd,ROSALÍA,LLYLM,174044,83,False,0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,4
Today's Top Hits_45,spotify:track:0HqZX76SFLDz2aW8aiqi7G,Imagine Dragons,Bones,165264,84,False,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,4
Today's Top Hits_46,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,147874,85,True,0.73,0.785,8,-6.512,1,0.0554,0.0464,0.0216,0.111,0.649,94.094,4
Today's Top Hits_47,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,243716,89,False,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
Today's Top Hits_48,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182666,88,True,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,4
Today's Top Hits_49,spotify:track:0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),182906,82,True,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4
RapCaviar_0,spotify:track:1T4k0sw0HldDg004Kw4Oct,Lil Baby,Forever (feat. Fridayy),167977,69,True,0.462,0.251,4,-12.072,0,0.159,0.414,0,0.201,0.137,89.705,3
RapCaviar_1,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,123890,88,True,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4
RapCaviar_2,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182666,88,True,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,4
RapCaviar_3,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake,Rich Flex,239359,90,True,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3
RapCaviar_4,spotify:track:12Us8e6NFesdkXKf4StU1I,Central Cee,Me & You,187034,64,True,0.603,0.667,10,-8.716,0,0.367,0.0861,0,0.0745,0.655,141.561,4
RapCaviar_5,spotify:track:5ht9obvnnWeW4eoRtPAoQD,Ghostluvme,Fact (feat. Lil Uzi Vert),174239,68,True,0.779,0.684,8,-4.963,1,0.108,0.181,0,0.0691,0.526,124.034,4
RapCaviar_6,spotify:track:5BbdKBZO0TH0GhfxUfyhL9,Lil Baby,Freestyle,162053,80,True,0.877,0.517,2,-5.426,0,0.0706,0.217,0,0.143,0.255,119.996,4
RapCaviar_7,spotify:track:4WuOWVnAqvEQxgSRrspBgt,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],207306,82,True,0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,4
RapCaviar_8,spotify:track:21wkixaulehrFctAvEhvQl,YG,"Let's Ride (feat. YG, Ty Dolla $ign, Lambo4oe) - Trailer Anthem",191757,56,True,0.611,0.554,8,-8.122,1,0.064,0.0339,0.00418,0.183,0.233,95.375,4
RapCaviar_9,spotify:track:2i2qDe3dnTl6maUE31FO7c,Lil Durk,Mad Max,153600,75,True,0.898,0.64,5,-8.796,0,0.255,0.0212,0,0.0919,0.68,149.988,4
RapCaviar_10,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,292799,85,True,0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
RapCaviar_11,spotify:track:4Wlz0HsHZlJy0NDK2h6jq6,Babyface Ray,Ron Artest,153392,59,True,0.836,0.54,1,-8.629,1,0.327,0.158,0,0.302,0.277,121.979,4
RapCaviar_12,spotify:track:0UMqDSXk4xvoCNRrIEPf7T,Gucci Mane,King Snipe,214593,72,True,0.818,0.526,1,-8.078,1,0.277,0.0103,0,0.146,0.531,125.061,4
RapCaviar_13,spotify:track:0T0vseuNB4KC8opkrCLNbc,NLE Choppa,23,260530,69,True,0.852,0.487,2,-7.991,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,4
RapCaviar_14,spotify:track:3QHGfxhjexLaMKGHXagfRs,SoFaygo,Hell Yeah,168160,68,True,0.696,0.708,9,-4.737,1,0.0438,0.000113,0,0.444,0.287,142.026,4
RapCaviar_15,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),199920,82,True,0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,4
RapCaviar_16,spotify:track:1a7tOEheXeaSNathZW4Gzk,Lil Durk,Hanging With Wolves,205893,72,True,0.823,0.636,11,-7.239,0,0.0612,0.0168,0,0.108,0.5,151.978,4
RapCaviar_17,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,139560,85,True,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,4
RapCaviar_18,spotify:track:46DB28jumopDyMuYhjoydV,NAV,Lately,230533,56,True,0.821,0.501,0,-8.27,0,0.0471,0.194,1.71e-05,0.109,0.385,124.966,4
RapCaviar_19,spotify:track:2KLwPaRDOB87XOYAT2fgxh,Drake,Pussy & Millions (feat. Travis Scott),242026,81,True,0.749,0.63,4,-6.652,0,0.116,0.0623,0,0.353,0.445,122.03,4
RapCaviar_20,spotify:track:2q2HyvGHcDbIgHi9o5gpFQ,Trippie Redd,DARK BROTHERHOOD (feat. Lil Baby),219060,70,True,0.681,0.801,7,-2.515,0,0.179,0.0687,0,0.768,0.371,148.936,4
RapCaviar_21,spotify:track:0yUaLqhsVsguBpoOPL4cO7,Ice Spice,In Ha Mood,129360,77,True,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,4
RapCaviar_22,spotify:track:5c2IvJeaFx4m2DmOR1iryD,GloRilla,Internet Trolls,140572,65,True,0.765,0.882,1,-3.392,1,0.414,0.0432,0,0.353,0.439,166.784,4
RapCaviar_23,spotify:track:65nmqAEqW7CJIkXOIkxyg8,Young Dolph,Get Away,180760,66,True,0.839,0.642,1,-5.581,1,0.0535,0.0431,6.76e-05,0.148,0.211,140.078,4
RapCaviar_24,spotify:track:3084aAzars6DR26nCWO9Ep,Moneybagg Yo,Quickie,187826,72,True,0.87,0.506,2,-9.415,1,0.432,0.0901,0,0.145,0.347,137.921,4
RapCaviar_25,spotify:track:2UQ2oUbHiB8wWYCE42JX0k,Polo G,My All,197692,74,True,0.493,0.613,1,-6.636,1,0.414,0.0393,0,0.128,0.373,156.104,4
RapCaviar_26,spotify:track:7CpXFEjLntpr4GdOhTtFEv,Nas,"One Mic, One Gun",169693,70,True,0.756,0.916,1,-2.692,1,0.207,0.0351,0,0.241,0.458,149.961,4
RapCaviar_27,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",115555,81,False,0.912,0.507,2,-11.952,1,0.0587,0.579,0,0.167,0.725,134.978,4
RapCaviar_28,spotify:track:5B40Td13cDQ4adeAiLf8Z4,Roddy Ricch,Twin (feat. Lil Durk),148855,68,True,0.785,0.609,11,-8.623,0,0.186,0.031,5.47e-05,0.096,0.326,83.962,4
RapCaviar_29,spotify:track:5JS1gz9zP4GTy0LZYvSeUK,Peezy,2 Million Up,159973,71,True,0.884,0.423,6,-10.181,0,0.275,0.115,0,0.0895,0.259,95.753,4
RapCaviar_30,spotify:track:4OkFBMU18NidtaefaTjUq1,Lil Baby,Real Spill,198722,72,True,0.776,0.557,2,-7.441,1,0.545,0.0496,0,0.112,0.284,156.978,4
RapCaviar_31,spotify:track:6DswwzQlABrNoqjNydtvuX,Lil Tecca,Blessing,144594,67,True,0.703,0.636,1,-8.652,0,0.177,0.338,0,0.0981,0.496,132.986,4
RapCaviar_32,spotify:track:53acd3PVcgGCux58YABBr5,Flo Milli,Conceited (feat. Lola Brooke & Maiya The Don),195254,65,True,0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,4
RapCaviar_33,spotify:track:3Wqs6XFKsKcTjaWhmB8VCP,Key Glock,Jigsaw,152893,65,True,0.75,0.714,1,-9.032,1,0.134,0.00296,0.000113,0.137,0.254,160.036,4
RapCaviar_34,spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],206769,70,True,0.855,0.603,0,-5.488,1,0.284,0.0392,0,0.105,0.494,129.976,4
RapCaviar_35,spotify:track:4EvFzNPsp8iyiEO9LDHopv,Finesse2tymes,If You Still Wit Me (feat. Lil Baby),196888,64,True,0.519,0.766,2,-6.519,1,0.345,0.0906,0,0.287,0.449,100.281,3
RapCaviar_36,spotify:track:4lxTmHPgoRWwM9QisWobJL,Latto,FTCU (feat. GloRilla & Gangsta Boo),145655,64,True,0.894,0.633,10,-5.294,0,0.298,0.0369,0,0.178,0.578,145.11,4
